Voltage (V),Current (A),Brightness Current (A)
-3.260000E+00,-4.185760E-07,+2.82979232E-08
-3.281400E+00,-4.685180E-07,+3.09999577E-08
-3.303000E+00,-5.329800E-07,+3.49740271E-08
-3.324700E+00,-6.062640E-07,+4.25868363E-08
-3.346500E+00,-6.884850E-07,+5.31012149E-08
-3.368500E+00,-7.808400E-07,+4.71927660E-08
-3.390600E+00,-8.830820E-07,+6.19167760E-08
-3.412900E+00,-9.967110E-07,+7.05632866E-08
-3.435300E+00,-1.121790E-06,+7.30685576E-08
-3.457900E+00,-1.260210E-06,+8.85241954E-08
-3.480600E+00,-1.412080E-06,+9.57046791E-08
-3.503500E+00,-1.578700E-06,+1.04816771E-07
-3.526500E+00,-1.760470E-06,+1.23079754E-07
-3.549700E+00,-1.959390E-06,+1.31626497E-07
-3.573000E+00,-2.175220E-06,+1.50288549E-07
-3.596500E+00,-2.410570E-06,+1.64610718E-07
-3.620100E+00,-2.664810E-06,+1.76028546E-07
-3.643900E+00,-2.940230E-06,+1.98265598E-07
-3.667800E+00,-3.237410E-06,+2.18230169E-07
-3.691900E+00,-3.557700E-06,+2.35894547E-07
-3.716200E+00,-3.902920E-06,+2.65104234E-07
-3.740600E+00,-4.273180E-06,+2.84603224E-07
-3.765200E+00,-4.671360E-06,+3.08638861E-07
-3.789900E+00,-5.095970E-06,+3.39256377E-07
-3.814800E+00,-5.551070E-06,+3.70805055E-07
-3.839900E+00,-6.037630E-06,+4.06161524E-07
-3.865100E+00,-6.555340E-06,+4.39248284E-07
-3.890500E+00,-7.106720E-06,+4.81181089E-07
-3.916100E+00,-7.694840E-06,+5.27287499E-07
-3.941800E+00,-8.317710E-06,+5.61976080E-07
-3.967700E+00,-8.979900E-06,+6.06779971E-07
-3.993800E+00,-9.682680E-06,+6.54890043E-07
-4.020000E+00,-1.042371E-05,+7.04399630E-07
-4.046400E+00,-1.121160E-05,+7.58254644E-07
-4.073000E+00,-1.204120E-05,+8.11871324E-07
-4.099800E+00,-1.292120E-05,+8.72166879E-07
-4.126700E+00,-1.384570E-05,+9.35868384E-07
-4.153800E+00,-1.482310E-05,+9.94961187E-07
-4.181100E+00,-1.585400E-05,+1.07068190E-06
-4.208600E+00,-1.693970E-05,+1.14810419E-06
-4.236200E+00,-1.807880E-05,+1.22422674E-06
-4.264100E+00,-1.928090E-05,+1.30408503E-06
-4.292100E+00,-2.054180E-05,+1.39075521E-06
