Voltage (V),Current (A),Brightness Current (A)
-3.260000E+00,-9.383700E-08,+8.76567730E-09
-3.281400E+00,-8.880700E-08,+6.69550312E-09
-3.303000E+00,-9.457300E-08,+5.29321646E-09
-3.324700E+00,-1.036610E-07,+9.46682064E-09
-3.346500E+00,-1.151870E-07,+8.19755721E-09
-3.368500E+00,-1.287270E-07,+7.79848749E-09
-3.390600E+00,-1.449410E-07,+1.12349212E-08
-3.412900E+00,-1.640380E-07,+1.02677314E-08
-3.435300E+00,-1.858420E-07,+1.24709288E-08
-3.457900E+00,-2.086750E-07,+1.06030608E-08
-3.480600E+00,-2.361770E-07,+1.76782344E-08
-3.503500E+00,-2.673610E-07,+1.23046498E-08
-3.526500E+00,-3.023170E-07,+1.75147267E-08
-3.549700E+00,-3.419070E-07,+1.88809862E-08
-3.573000E+00,-3.868710E-07,+2.24199587E-08
-3.596500E+00,-4.367190E-07,+2.00504822E-08
-3.620100E+00,-4.928100E-07,+2.66933303E-08
-3.643900E+00,-5.556510E-07,+2.69621481E-08
-3.667800E+00,-6.258550E-07,+3.36382520E-08
-3.691900E+00,-7.041290E-07,+3.76455771E-08
-3.716200E+00,-7.910800E-07,+4.03836388E-08
-3.740600E+00,-8.879460E-07,+4.66246459E-08
-3.765200E+00,-9.950900E-07,+5.08980175E-08
-3.789900E+00,-1.113440E-06,+5.28351684E-08
-3.814800E+00,-1.244340E-06,+6.35878804E-08
-3.839900E+00,-1.388540E-06,+7.43045653E-08
-3.865100E+00,-1.546850E-06,+7.82758633E-08
-3.890500E+00,-1.721490E-06,+8.93916178E-08
-3.916100E+00,-1.912920E-06,+9.36982452E-08
-3.941800E+00,-2.122090E-06,+1.09957565E-07
-3.967700E+00,-2.350270E-06,+1.13499309E-07
-3.993800E+00,-2.600200E-06,+1.32460663E-07
-4.020000E+00,-2.871410E-06,+1.48284886E-07
-4.046400E+00,-3.167250E-06,+1.67285039E-07
-4.073000E+00,-3.488220E-06,+1.80570735E-07
-4.099800E+00,-3.836060E-06,+1.94028253E-07
-4.126700E+00,-4.212060E-06,+2.20934975E-07
-4.153800E+00,-4.618400E-06,+2.33419760E-07
-4.181100E+00,-5.057290E-06,+2.57860010E-07
-4.208600E+00,-5.530180E-06,+2.82699329E-07
-4.236200E+00,-6.037800E-06,+3.12446651E-07
-4.264100E+00,-6.585400E-06,+3.40190311E-07
-4.292100E+00,-7.171780E-06,+3.70236935E-07
-4.320300E+00,-7.799430E-06,+3.98349180E-07
-4.348700E+00,-8.472750E-06,+4.37410900E-07
-4.377200E+00,-9.190670E-06,+4.72634346E-07
-4.406000E+00,-9.960110E-06,+5.10892384E-07
-4.434900E+00,-1.078020E-05,+5.49222477E-07
-4.464100E+00,-1.165500E-05,+5.95126580E-07
-4.493400E+00,-1.258550E-05,+6.45509133E-07
-4.522900E+00,-1.357520E-05,+6.99026046E-07
-4.552600E+00,-1.462830E-05,+7.47368908E-07
-4.582600E+00,-1.575090E-05,+8.03557371E-07
-4.612700E+00,-1.693970E-05,+8.65524031E-07
-4.643000E+00,-1.820120E-05,+9.30694334E-07
-4.673500E+00,-1.953850E-05,+9.97765760E-07
-4.704200E+00,-2.095540E-05,+1.06927961E-06
-4.735100E+00,-2.245620E-05,+1.14856977E-06
-4.766200E+00,-2.404390E-05,+1.22712831E-06
-4.797500E+00,-2.572380E-05,+1.31479894E-06
-4.829000E+00,-2.749710E-05,+1.40067099E-06
-4.860800E+00,-2.937850E-05,+1.49698813E-06
-4.892700E+00,-3.136240E-05,+1.60062155E-06
-4.924800E+00,-3.345370E-05,+1.69600475E-06
-4.957200E+00,-3.566500E-05,+1.81719724E-06
-4.989800E+00,-3.799950E-05,+1.93475099E-06
-5.022500E+00,-4.045010E-05,+2.06021407E-06
-5.055500E+00,-4.304270E-05,+2.19102303E-06
-5.088800E+00,-4.577980E-05,+2.32830579E-06
-5.122200E+00,-4.865230E-05,+2.47103419E-06
-5.155900E+00,-5.168780E-05,+2.62921822E-06
-5.189700E+00,-5.487050E-05,+2.78659857E-06
-5.223800E+00,-5.822920E-05,+2.95766923E-06
-5.258100E+00,-6.175600E-05,+3.13411625E-06
-5.292700E+00,-6.547280E-05,+3.32268223E-06
-5.327500E+00,-6.937610E-05,+3.51865873E-06
-5.362500E+00,-7.347790E-05,+3.72004483E-06
-5.397700E+00,-7.778050E-05,+3.93388523E-06
-5.433200E+00,-8.231370E-05,+4.16585282E-06
-5.468900E+00,-8.707190E-05,+4.40002361E-06
-5.504800E+00,-9.205620E-05,+4.64577851E-06
-5.541000E+00,-9.730120E-05,+4.90642370E-06
-5.577400E+00,-1.028032E-04,+5.18953873E-06
-5.614000E+00,-1.085650E-04,+5.47388977E-06
-5.650900E+00,-1.146120E-04,+5.77362993E-06
-5.688000E+00,-1.209560E-04,+6.08682761E-06
-5.725400E+00,-1.276090E-04,+6.41842130E-06
-5.763000E+00,-1.345800E-04,+6.75879175E-06
-5.800900E+00,-1.418960E-04,+7.12553960E-06
-5.839000E+00,-1.495570E-04,+7.49983375E-06
-5.877300E+00,-1.575610E-04,+7.89335808E-06
-5.916000E+00,-1.659950E-04,+8.31251986E-06
-5.954800E+00,-1.747860E-04,+8.74150042E-06
-5.994000E+00,-1.840360E-04,+9.19508474E-06
-6.033300E+00,-1.936720E-04,+9.66693481E-06
-6.073000E+00,-2.037990E-04,+1.01561416E-05
-6.112900E+00,-2.143790E-04,+1.06794052E-05
-6.153000E+00,-2.254560E-04,+1.12124487E-05
-6.193500E+00,-2.370800E-04,+1.17719002E-05
-6.234200E+00,-2.492390E-04,+1.23677113E-05
-6.275100E+00,-2.619330E-04,+1.29794824E-05
-6.316300E+00,-2.752310E-04,+1.36233011E-05
-6.357800E+00,-2.891660E-04,+1.42917928E-05
-6.399600E+00,-3.037410E-04,+1.49884632E-05
-6.441700E+00,-3.190040E-04,+1.57151830E-05
-6.484000E+00,-3.349400E-04,+1.64808953E-05
-6.526600E+00,-3.516260E-04,+1.72716132E-05
-6.569500E+00,-3.690820E-04,+1.81039341E-05
-6.612600E+00,-3.873230E-04,+1.89608921E-05
-6.656100E+00,-4.064470E-04,+1.98638539E-05
-6.699800E+00,-4.264010E-04,+2.08067476E-05
-6.743800E+00,-4.472740E-04,+2.17774182E-05
-6.788100E+00,-4.691020E-04,+2.28000067E-05
-6.832700E+00,-4.919500E-04,+2.38608533E-05
-6.877600E+00,-5.158420E-04,+2.49694441E-05
-6.922800E+00,-5.408300E-04,+2.61252415E-05
-6.968300E+00,-5.669460E-04,+2.73217385E-05
-7.014100E+00,-5.942740E-04,+2.85757570E-05
-7.060200E+00,-6.228550E-04,+2.98809257E-05
-7.106500E+00,-6.526510E-04,+3.12395781E-05
-7.153200E+00,-6.838860E-04,+3.26441373E-05
-7.200200E+00,-7.165150E-04,+3.41189384E-05
-7.247500E+00,-7.506460E-04,+3.56504323E-05
-7.295200E+00,-7.863760E-04,+3.72434883E-05
-7.343100E+00,-8.236720E-04,+3.89021497E-05
-7.391300E+00,-8.626420E-04,+4.06279186E-05
-7.439900E+00,-9.034590E-04,+4.24209916E-05
-7.488800E+00,-9.461000E-04,+4.42849440E-05
-7.538000E+00,-9.907060E-04,+4.62231815E-05
-7.587500E+00,-1.037302E-03,+4.82433170E-05
-7.637300E+00,-1.086080E-03,+5.03464812E-05
-7.687500E+00,-1.137020E-03,+5.25240303E-05
-7.738000E+00,-1.190310E-03,+5.47908242E-05
-7.788900E+00,-1.246140E-03,+5.71514328E-05
-7.840000E+00,-1.304380E-03,+5.96006764E-05
-7.891600E+00,-1.365430E-03,+6.21483462E-05
-7.943400E+00,-1.429170E-03,+6.47919036E-05
-7.995600E+00,-1.495910E-03,+6.75422593E-05
-8.048100E+00,-1.565670E-03,+7.03970161E-05
-8.101000E+00,-1.638710E-03,+7.33627504E-05
-8.154200E+00,-1.715110E-03,+7.64466010E-05
-8.207800E+00,-1.795110E-03,+7.96444027E-05
-8.261700E+00,-1.878780E-03,+8.29703058E-05
-8.316000E+00,-1.966410E-03,+8.64260452E-05
-8.370600E+00,-2.058010E-03,+9.00083563E-05
-8.425600E+00,-2.154010E-03,+9.37271797E-05
-8.481000E+00,-2.254660E-03,+9.76018206E-05
-8.536700E+00,-2.359800E-03,+1.01605466E-04
-8.592800E+00,-2.470150E-03,+1.05777575E-04
-8.649300E+00,-2.585740E-03,+1.10106468E-04
-8.706100E+00,-2.706780E-03,+1.14593978E-04
-8.763300E+00,-2.833600E-03,+1.19251993E-04
-8.820900E+00,-2.966700E-03,+1.24245123E-04
-8.878800E+00,-3.105960E-03,+1.29123115E-04
-8.937200E+00,-3.252470E-03,+1.34345797E-04
-8.995900E+00,-3.405800E-03,+1.39762926E-04
-9.055000E+00,-3.566840E-03,+1.45380414E-04
-9.114500E+00,-3.735880E-03,+1.51228442E-04
-9.174400E+00,-3.913420E-03,+1.57289012E-04
-9.234600E+00,-4.099590E-03,+1.63572845E-04
-9.295300E+00,-4.295570E-03,+1.70104813E-04
-9.356400E+00,-4.501470E-03,+1.76895398E-04
-9.417900E+00,-4.718050E-03,+1.83944903E-04
-9.479700E+00,-4.945460E-03,+1.91251156E-04
-9.542000E+00,-5.185200E-03,+1.98854056E-04
-9.604700E+00,-5.437480E-03,+2.06751432E-04
-9.667800E+00,-5.703230E-03,+2.14957577E-04
-9.731300E+00,-5.983100E-03,+2.23474356E-04
-9.795300E+00,-6.278640E-03,+2.32338165E-04
-9.859600E+00,-6.589800E-03,+2.41536877E-04
-9.924400E+00,-6.918600E-03,+2.51110301E-04
-9.989600E+00,-7.265890E-03,+2.61058565E-04
-1.005520E+01,-7.632480E-03,+2.71398930E-04
-1.012130E+01,-8.020660E-03,+2.82156468E-04
-1.018780E+01,-8.431370E-03,+2.93352654E-04
-1.025470E+01,-8.866050E-03,+3.04989079E-04
-1.032210E+01,-9.326970E-03,+3.17113899E-04
-1.038990E+01,-9.815430E-03,+3.29725072E-04
-1.045820E+01,-1.033439E-02,+3.42871646E-04
-1.052690E+01,-1.089110E-02,+3.56555924E-04
-1.059610E+01,-1.147140E-02,+3.70801577E-04
-1.066570E+01,-1.209470E-02,+3.85642726E-04
-1.073580E+01,-1.275820E-02,+4.01116936E-04
-1.080630E+01,-1.346560E-02,+4.17233352E-04
-1.087730E+01,-1.422040E-02,+4.34035612E-04
-1.094880E+01,-1.502640E-02,+4.51568786E-04
-1.102070E+01,-1.588820E-02,+4.69829039E-04
-1.109310E+01,-1.681010E-02,+4.88873028E-04
-1.116600E+01,-1.779800E-02,+5.08731702E-04
-1.123930E+01,-1.885660E-02,+5.29431610E-04
-1.131320E+01,-1.999330E-02,+5.51023760E-04
-1.138750E+01,-2.121590E-02,+5.73531792E-04
-1.146230E+01,-2.253050E-02,+5.96982721E-04
-1.153760E+01,-2.394950E-02,+6.21430565E-04
-1.161340E+01,-2.547980E-02,+6.46947439E-04
-1.168970E+01,-2.713890E-02,+6.73534515E-04
-1.176650E+01,-2.894280E-02,+7.01331215E-04
-1.184390E+01,-3.091610E-02,+7.30389498E-04
-1.192170E+01,-3.308340E-02,+7.60662480E-04
"-1.200000E+01
","-3.546870E-02
","+7.91704543E-04
"
