Voltage (V),Current (A),Brightness Current (A)
-4.010010E+00,-6.154030E-07,+3.83134647E-08
-4.032100E+00,-6.786570E-07,+4.50228244E-08
-4.054400E+00,-7.714910E-07,+4.56907119E-08
-4.076800E+00,-8.797000E-07,+5.06319710E-08
-4.099300E+00,-1.004072E-06,+5.65736758E-08
-4.122000E+00,-1.142950E-06,+7.33346041E-08
-4.144700E+00,-1.297340E-06,+7.56375690E-08
-4.167600E+00,-1.469440E-06,+8.48521997E-08
-4.190700E+00,-1.661950E-06,+9.34017143E-08
-4.213800E+00,-1.873920E-06,+1.11193573E-07
-4.237100E+00,-2.107190E-06,+1.22614172E-07
-4.260500E+00,-2.360790E-06,+1.39438841E-07
-4.284000E+00,-2.641910E-06,+1.55595622E-07
-4.307700E+00,-2.949020E-06,+1.73126977E-07
-4.331500E+00,-3.281280E-06,+1.92287866E-07
-4.355400E+00,-3.644460E-06,+2.13421933E-07
-4.379400E+00,-4.034800E-06,+2.33954625E-07
-4.403600E+00,-4.459350E-06,+2.58793944E-07
-4.428000E+00,-4.919560E-06,+2.86537603E-07
-4.452400E+00,-5.414330E-06,+3.14616592E-07
-4.477000E+00,-5.946100E-06,+3.45566667E-07
-4.501700E+00,-6.515440E-06,+3.74044725E-07
-4.526600E+00,-7.127080E-06,+4.12438558E-07
-4.551600E+00,-7.778730E-06,+4.52201422E-07
-4.576700E+00,-8.472920E-06,+4.87458123E-07
-4.602000E+00,-9.215990E-06,+5.31993196E-07
-4.627400E+00,-1.000304E-05,+5.73327397E-07
-4.653000E+00,-1.084010E-05,+6.27246150E-07
-4.678700E+00,-1.173350E-05,+6.73585351E-07
-4.704500E+00,-1.267300E-05,+7.26068562E-07
-4.730500E+00,-1.366830E-05,+7.80488924E-07
-4.756600E+00,-1.472120E-05,+8.41183549E-07
-4.782900E+00,-1.583240E-05,+9.04250422E-07
-4.809300E+00,-1.700480E-05,+9.70653961E-07
-4.835900E+00,-1.824330E-05,+1.04443752E-06
-4.862600E+00,-1.954480E-05,+1.11448534E-06
-4.889500E+00,-2.091530E-05,+1.19581242E-06
-4.916500E+00,-2.235510E-05,+1.26859554E-06
-4.943600E+00,-2.386530E-05,+1.35743566E-06
-4.970900E+00,-2.545110E-05,+1.44654461E-06
-4.998400E+00,-2.711720E-05,+1.53318153E-06
-5.026000E+00,-2.886140E-05,+1.63534338E-06
