Voltage (V),Current (A),Brightness Current (A)
-7.472300E+00,-6.590950E-04,+2.17870014E-05
-7.513600E+00,-6.877370E-04,+2.27127019E-05
-7.555100E+00,-7.175470E-04,+2.36733570E-05
-7.596800E+00,-7.485500E-04,+2.46683986E-05
-7.638800E+00,-7.808370E-04,+2.57053758E-05
-7.681000E+00,-8.143930E-04,+2.67854858E-05
-7.723400E+00,-8.492980E-04,+2.79031582E-05
-7.766100E+00,-8.856870E-04,+2.90650664E-05
-7.809000E+00,-9.234740E-04,+3.02621620E-05
-7.852100E+00,-9.627840E-04,+3.15125418E-05
-7.895500E+00,-1.003681E-03,+3.28085624E-05
-7.939100E+00,-1.046211E-03,+3.41458811E-05
-7.982900E+00,-1.090610E-03,+3.55412258E-05
-8.027000E+00,-1.136580E-03,+3.69867479E-05
-8.071400E+00,-1.184540E-03,+3.84911660E-05
-8.115900E+00,-1.234280E-03,+4.00409895E-05
-8.160800E+00,-1.286170E-03,+4.16533422E-05
-8.205800E+00,-1.340050E-03,+4.33213512E-05
-8.251200E+00,-1.396230E-03,+4.50605388E-05
-8.296700E+00,-1.454530E-03,+4.68594899E-05
-8.342600E+00,-1.515380E-03,+4.87254819E-05
-8.388600E+00,-1.578490E-03,+5.06560734E-05
-8.435000E+00,-1.644320E-03,+5.26633888E-05
-8.481600E+00,-1.712770E-03,+5.47435816E-05
-8.528400E+00,-1.783960E-03,+5.68999662E-05
-8.575500E+00,-1.858120E-03,+5.91305334E-05
-8.622900E+00,-1.935290E-03,+6.14384565E-05
-8.670500E+00,-2.015550E-03,+6.38356548E-05
-8.718400E+00,-2.099230E-03,+6.63256978E-05
-8.766600E+00,-2.186340E-03,+6.89120968E-05
-8.815000E+00,-2.276940E-03,+7.15793546E-05
-8.863700E+00,-2.371340E-03,+7.43433036E-05
-8.912600E+00,-2.469560E-03,+7.72090765E-05
-8.961800E+00,-2.571860E-03,+8.01772135E-05
-9.011300E+00,-2.678510E-03,+8.32584619E-05
-9.061100E+00,-2.789610E-03,+8.64508208E-05
-9.111200E+00,-2.905540E-03,+8.97653726E-05
-9.161500E+00,-3.026090E-03,+9.31873269E-05
-9.212100E+00,-3.151760E-03,+9.67355148E-05
-9.263000E+00,-3.282790E-03,+1.00425930E-04
-9.314100E+00,-3.419190E-03,+1.04228788E-04
-9.365600E+00,-3.561820E-03,+1.08186258E-04
-9.417300E+00,-3.710330E-03,+1.12286623E-04
-9.469300E+00,-3.865140E-03,+1.16526906E-04
-9.521600E+00,-4.026790E-03,+1.21096632E-04
-9.574200E+00,-4.195600E-03,+1.25490838E-04
-9.627100E+00,-4.371480E-03,+1.30209838E-04
-9.680300E+00,-4.555320E-03,+1.35107796E-04
-9.733700E+00,-4.747060E-03,+1.40175727E-04
-9.787500E+00,-4.947540E-03,+1.45439980E-04
-9.841600E+00,-5.157020E-03,+1.50897073E-04
-9.895900E+00,-5.375520E-03,+1.56541940E-04
-9.950600E+00,-5.604200E-03,+1.62403055E-04
-1.000550E+01,-5.843000E-03,+1.68464626E-04
-1.006080E+01,-6.093280E-03,+1.74775768E-04
-1.011640E+01,-6.354720E-03,+1.81302160E-04
-1.017220E+01,-6.628020E-03,+1.88060927E-04
-1.022840E+01,-6.914510E-03,+1.95085927E-04
-1.028490E+01,-7.214380E-03,+2.02363435E-04
-1.034170E+01,-7.528650E-03,+2.09916555E-04
-1.039890E+01,-7.858250E-03,+2.17766288E-04
-1.045630E+01,-8.203200E-03,+2.25883322E-04
-1.051400E+01,-8.564580E-03,+2.34307951E-04
-1.057210E+01,-8.943730E-03,+2.43042350E-04
-1.063050E+01,-9.342190E-03,+2.52121440E-04
-1.068920E+01,-9.760450E-03,+2.61537808E-04
-1.074830E+01,-1.019898E-02,+2.71294595E-04
-1.080760E+01,-1.066490E-02,+2.81427088E-04
-1.086730E+01,-1.114450E-02,+2.91942837E-04
-1.092730E+01,-1.165450E-02,+3.02863038E-04
-1.098770E+01,-1.219230E-02,+3.14222222E-04
-1.104840E+01,-1.275510E-02,+3.25965890E-04
-1.110940E+01,-1.334860E-02,+3.38144030E-04
-1.117080E+01,-1.397570E-02,+3.50849756E-04
-1.123250E+01,-1.463430E-02,+3.63972158E-04
-1.129450E+01,-1.533110E-02,+3.77607491E-04
-1.135690E+01,-1.607170E-02,+3.91903961E-04
-1.141960E+01,-1.684840E-02,+4.06642810E-04
-1.148270E+01,-1.766480E-02,+4.21836399E-04
-1.154610E+01,-1.852230E-02,+4.37532201E-04
-1.160990E+01,-1.939900E-02,+4.53359116E-04
-1.167400E+01,-2.020590E-02,+4.68026955E-04
-1.173850E+01,-2.128340E-02,+4.86336290E-04
-1.180322E+01,-2.243150E-02,+5.04345772E-04
-1.186821E+01,-2.374590E-02,+5.27190149E-04
-1.192762E+01,-2.495790E-02,+5.47060008E-04
"-1.187325E+01
","-2.499970E-02
","+5.47621651E-04
"
