Voltage (V),Current (A),Brightness Current (A)
-3.260000E+00,-7.540500E-08,+4.25951502E-09
-3.281400E+00,-7.174800E-08,+1.93992226E-11
-3.303000E+00,-7.328700E-08,+5.19067771E-09
-3.324700E+00,-8.026200E-08,+3.69139493E-09
-3.346500E+00,-8.907800E-08,+5.62577456E-09
-3.368500E+00,-9.893500E-08,+2.72143380E-09
-3.390600E+00,-1.113140E-07,+1.14372274E-08
-3.412900E+00,-1.251490E-07,+7.02806122E-09
-3.435300E+00,-1.421660E-07,+1.25041846E-08
-3.457900E+00,-1.611940E-07,+8.76567730E-09
-3.480600E+00,-1.830710E-07,+6.42945664E-09
-3.503500E+00,-2.067040E-07,+8.96521216E-09
-3.526500E+00,-2.299910E-07,+6.96154960E-09
-3.549700E+00,-2.585650E-07,+1.65780214E-08
-3.573000E+00,-2.927550E-07,+1.40394945E-08
-3.596500E+00,-3.275870E-07,+1.63452307E-08
-3.620100E+00,-3.700470E-07,+1.78805406E-08
-3.643900E+00,-4.176620E-07,+2.04190675E-08
-3.667800E+00,-4.724030E-07,+2.38915283E-08
-3.691900E+00,-5.313790E-07,+2.29880788E-08
-3.716200E+00,-5.987580E-07,+3.44724186E-08
-3.740600E+00,-6.737620E-07,+3.16678453E-08
-3.765200E+00,-7.567410E-07,+3.85462553E-08
-3.789900E+00,-8.490870E-07,+3.79448794E-08
-3.814800E+00,-9.529870E-07,+4.25203247E-08
-3.839900E+00,-1.066680E-06,+5.01331339E-08
-3.865100E+00,-1.194150E-06,+5.43372225E-08
-3.890500E+00,-1.334380E-06,+6.16812140E-08
-3.916100E+00,-1.489930E-06,+7.55378015E-08
-3.941800E+00,-1.658820E-06,+7.94786151E-08
-3.967700E+00,-1.843760E-06,+8.50877617E-08
-3.993800E+00,-2.048460E-06,+9.97757445E-08
-4.020000E+00,-2.271010E-06,+1.09056887E-07
-4.046400E+00,-2.515260E-06,+1.20175413E-07
-4.073000E+00,-2.782470E-06,+1.25485257E-07
-4.099800E+00,-3.074130E-06,+1.45649363E-07
-4.126700E+00,-3.392590E-06,+1.56601610E-07
-4.153800E+00,-3.738640E-06,+1.75962034E-07
-4.181100E+00,-4.110980E-06,+1.96394958E-07
-4.208600E+00,-4.515140E-06,+2.11554065E-07
-4.236200E+00,-4.950600E-06,+2.30584703E-07
-4.264100E+00,-5.425430E-06,+2.53719661E-07
-4.292100E+00,-5.932400E-06,+2.79728476E-07
-4.320300E+00,-6.481580E-06,+3.04199210E-07
-4.348700E+00,-7.072980E-06,+3.32946087E-07
-4.377200E+00,-7.704940E-06,+3.66800501E-07
-4.406000E+00,-8.384950E-06,+3.93640711E-07
-4.434900E+00,-9.112850E-06,+4.25291929E-07
-4.464100E+00,-9.895030E-06,+4.69663494E-07
-4.493400E+00,-1.073130E-05,+5.03279575E-07
