Voltage (V),Current (A),Brightness Current (A)
-4.010010E+00,-1.832050E-07,+6.96154960E-09
-4.032100E+00,-1.728300E-07,+3.86044530E-09
-4.054400E+00,-1.832830E-07,+9.66912681E-09
-4.076800E+00,-2.012360E-07,+1.16700181E-08
-4.099300E+00,-2.246640E-07,+4.82486380E-09
-4.122000E+00,-2.510450E-07,+1.06695724E-08
-4.144700E+00,-2.824820E-07,+1.13374600E-08
-4.167600E+00,-3.194580E-07,+1.86149398E-08
-4.190700E+00,-3.611350E-07,+1.68800950E-08
-4.213800E+00,-4.094990E-07,+1.42750565E-08
-4.237100E+00,-4.645820E-07,+1.46408704E-08
-4.260500E+00,-5.277770E-07,+1.58796494E-08
-4.284000E+00,-5.986990E-07,+2.16550751E-08
-4.307700E+00,-6.793030E-07,+2.24892416E-08
-4.331500E+00,-7.700310E-07,+2.83616635E-08
-4.355400E+00,-8.726660E-07,+3.51735619E-08
-4.379400E+00,-9.874000E-07,+3.57416820E-08
-4.403600E+00,-1.116570E-06,+3.86460228E-08
-4.428000E+00,-1.262380E-06,+4.32214680E-08
-4.452400E+00,-1.424100E-06,+5.42707109E-08
-4.477000E+00,-1.604520E-06,+5.58392766E-08
-4.501700E+00,-1.804910E-06,+6.09163303E-08
-4.526600E+00,-2.028520E-06,+7.26002050E-08
-4.551600E+00,-2.274600E-06,+8.14490218E-08
-4.576700E+00,-2.545770E-06,+8.95606682E-08
-4.602000E+00,-2.845950E-06,+1.01313826E-07
-4.627400E+00,-3.174440E-06,+1.10824987E-07
-4.653000E+00,-3.535510E-06,+1.27153590E-07
-4.678700E+00,-3.931130E-06,+1.41509015E-07
-4.704500E+00,-4.360070E-06,+1.57033936E-07
-4.730500E+00,-4.827230E-06,+1.74360213E-07
-4.756600E+00,-5.334580E-06,+1.88851432E-07
-4.782900E+00,-5.885770E-06,+2.07513484E-07
-4.809300E+00,-6.478810E-06,+2.34589256E-07
-4.835900E+00,-7.121800E-06,+2.53254080E-07
-4.862600E+00,-7.814040E-06,+2.81599116E-07
-4.889500E+00,-8.557900E-06,+3.07339113E-07
-4.916500E+00,-9.355840E-06,+3.34683703E-07
-4.943600E+00,-1.020984E-05,+3.63693854E-07
-4.970900E+00,-1.112860E-05,+4.01051215E-07
-4.998400E+00,-1.211050E-05,+4.32569409E-07
-5.026000E+00,-1.315590E-05,+4.68025645E-07
-5.053800E+00,-1.427350E-05,+5.12865562E-07
-5.081700E+00,-1.546340E-05,+5.50056644E-07
-5.109700E+00,-1.672630E-05,+6.03174487E-07
-5.138000E+00,-1.807870E-05,+6.47712330E-07
-5.166300E+00,-1.950380E-05,+7.02528991E-07
-5.194900E+00,-2.102630E-05,+7.50542067E-07
-5.223600E+00,-2.263570E-05,+8.10937390E-07
-5.252400E+00,-2.433530E-05,+8.69996937E-07
-5.281400E+00,-2.613940E-05,+9.33731698E-07
-5.310600E+00,-2.804820E-05,+1.00551159E-06
-5.339900E+00,-3.006050E-05,+1.08193067E-06
-5.369400E+00,-3.218970E-05,+1.15484681E-06
-5.399100E+00,-3.444010E-05,+1.23480763E-06
-5.428900E+00,-3.680660E-05,+1.32141131E-06
-5.458900E+00,-3.929640E-05,+1.40941727E-06
-5.489000E+00,-4.191890E-05,+1.50072941E-06
-5.519400E+00,-4.469040E-05,+1.61067034E-06
-5.549800E+00,-4.759060E-05,+1.70805998E-06
-5.580500E+00,-5.064590E-05,+1.81325643E-06
-5.611300E+00,-5.384950E-05,+1.93087669E-06
-5.642300E+00,-5.721980E-05,+2.05313890E-06
-5.673500E+00,-6.076290E-05,+2.18614829E-06
-5.704800E+00,-6.446720E-05,+2.31615356E-06
-5.736300E+00,-6.835010E-05,+2.45290423E-06
-5.768000E+00,-7.242890E-05,+2.59993648E-06
-5.799900E+00,-7.670490E-05,+2.75114233E-06
-5.831900E+00,-8.116190E-05,+2.90986400E-06
-5.864100E+00,-8.584190E-05,+3.07405625E-06
-5.896500E+00,-9.073640E-05,+3.25030096E-06
-5.929100E+00,-9.585360E-05,+3.43115437E-06
-5.961800E+00,-1.011904E-04,+3.61511443E-06
-5.994700E+00,-1.067790E-04,+3.82480895E-06
-6.027900E+00,-1.126280E-04,+4.02779964E-06
-6.061200E+00,-1.187230E-04,+4.24180632E-06
-6.094600E+00,-1.250750E-04,+4.46896568E-06
-6.128300E+00,-1.317280E-04,+4.70420343E-06
-6.162100E+00,-1.386430E-04,+4.95056247E-06
-6.196200E+00,-1.458920E-04,+5.20673198E-06
-6.230400E+00,-1.534260E-04,+5.47245422E-06
-6.264800E+00,-1.612840E-04,+5.74969406E-06
-6.299400E+00,-1.694810E-04,+6.04222325E-06
-6.334200E+00,-1.780360E-04,+6.33882629E-06
-6.369200E+00,-1.869600E-04,+6.65633060E-06
-6.404400E+00,-1.962390E-04,+6.98395022E-06
-6.439700E+00,-2.058920E-04,+7.31964823E-06
-6.475300E+00,-2.159720E-04,+7.68218922E-06
-6.511100E+00,-2.264800E-04,+8.05120678E-06
-6.547000E+00,-2.373910E-04,+8.43297795E-06
-6.583200E+00,-2.487780E-04,+8.82943987E-06
-6.619600E+00,-2.606390E-04,+9.25060531E-06
