Voltage (V),Current (A),Brightness Current (A)
-4.010010E+00,-2.380810E-07,+1.21383707E-08
-4.032100E+00,-2.306190E-07,+7.23036740E-09
-4.054400E+00,-2.484340E-07,+4.96065835E-09
-4.076800E+00,-2.742570E-07,+1.28034869E-08
-4.099300E+00,-3.075410E-07,+1.57771106E-08
-4.122000E+00,-3.472540E-07,+1.25706963E-08
-4.144700E+00,-3.927970E-07,+1.88505017E-08
-4.167600E+00,-4.446180E-07,+1.72126531E-08
-4.190700E+00,-5.051250E-07,+2.16550751E-08
-4.213800E+00,-5.731560E-07,+2.73279620E-08
-4.237100E+00,-6.500200E-07,+2.33899198E-08
-4.260500E+00,-7.378950E-07,+2.71616830E-08
-4.284000E+00,-8.371430E-07,+3.22027095E-08
-4.307700E+00,-9.485220E-07,+3.73130190E-08
-4.331500E+00,-1.073090E-06,+4.49895686E-08
-4.355400E+00,-1.214330E-06,+5.23363313E-08
-4.379400E+00,-1.371740E-06,+5.35030560E-08
-4.403600E+00,-1.547100E-06,+6.21495666E-08
-4.428000E+00,-1.742020E-06,+6.56913104E-08
-4.452400E+00,-1.956910E-06,+7.89770066E-08
-4.477000E+00,-2.195450E-06,+8.59884399E-08
-4.501700E+00,-2.458930E-06,+9.62367721E-08
-4.526600E+00,-2.750110E-06,+1.05753476E-07
-4.551600E+00,-3.069410E-06,+1.21109347E-07
-4.576700E+00,-3.417850E-06,+1.32261128E-07
-4.602000E+00,-3.799530E-06,+1.49288103E-07
-4.627400E+00,-4.214230E-06,+1.67049477E-07
-4.653000E+00,-4.666830E-06,+1.86612208E-07
-4.678700E+00,-5.157410E-06,+2.05144008E-07
-4.704500E+00,-5.687460E-06,+2.21201022E-07
-4.730500E+00,-6.261210E-06,+2.47744701E-07
-4.756600E+00,-6.879230E-06,+2.73384930E-07
-4.782900E+00,-7.546330E-06,+3.00294424E-07
-4.809300E+00,-8.262610E-06,+3.25000719E-07
-4.835900E+00,-9.031540E-06,+3.56815444E-07
-4.862600E+00,-9.855170E-06,+3.86798329E-07
-4.889500E+00,-1.073970E-05,+4.22656406E-07
-4.916500E+00,-1.168230E-05,+4.59844716E-07
-4.943600E+00,-1.268410E-05,+5.03215835E-07
-4.970900E+00,-1.375520E-05,+5.39971819E-07
-4.998400E+00,-1.489620E-05,+5.87716077E-07
-5.026000E+00,-1.610780E-05,+6.35055723E-07
-5.053800E+00,-1.739730E-05,+6.88508896E-07
-5.081700E+00,-1.876140E-05,+7.40590266E-07
-5.109700E+00,-2.020820E-05,+7.99552817E-07
-5.138000E+00,-2.174660E-05,+8.59748605E-07
-5.166300E+00,-2.336650E-05,+9.19708831E-07
-5.194900E+00,-2.508740E-05,+9.86613979E-07
-5.223600E+00,-2.690310E-05,+1.06203539E-06
-5.252400E+00,-2.881710E-05,+1.13892282E-06
-5.281400E+00,-3.083410E-05,+1.22115335E-06
-5.310600E+00,-3.297290E-05,+1.30121394E-06
-5.339900E+00,-3.521520E-05,+1.38824994E-06
-5.369400E+00,-3.757960E-05,+1.47522220E-06
-5.399100E+00,-4.006870E-05,+1.57821822E-06
-5.428900E+00,-4.268490E-05,+1.68328441E-06
-5.458900E+00,-4.543730E-05,+1.79566133E-06
-5.489000E+00,-4.832110E-05,+1.90600411E-06
-5.519400E+00,-5.136390E-05,+2.01981935E-06
-5.549800E+00,-5.453950E-05,+2.14334529E-06
-5.580500E+00,-5.788270E-05,+2.27261616E-06
-5.611300E+00,-6.138200E-05,+2.41447714E-06
-5.642300E+00,-6.505350E-05,+2.55546792E-06
-5.673500E+00,-6.890060E-05,+2.71084738E-06
-5.704800E+00,-7.291520E-05,+2.86552569E-06
-5.736300E+00,-7.712600E-05,+3.02387601E-06
-5.768000E+00,-8.153360E-05,+3.20082186E-06
-5.799900E+00,-8.614760E-05,+3.38511448E-06
-5.831900E+00,-9.096060E-05,+3.56483165E-06
-5.864100E+00,-9.599590E-05,+3.76164508E-06
-5.896500E+00,-1.012548E-04,+3.96039288E-06
-5.929100E+00,-1.067560E-04,+4.17977315E-06
-5.961800E+00,-1.124840E-04,+4.40085778E-06
-5.994700E+00,-1.184670E-04,+4.63813245E-06
-6.027900E+00,-1.247310E-04,+4.87767682E-06
