Voltage (V),Current (A),Brightness Current (A)
-6.061200E+00,-1.312540E-04,+5.13037941E-06
-6.094600E+00,-1.380330E-04,+5.38725284E-06
-6.128300E+00,-1.451330E-04,+5.66786537E-06
-6.162100E+00,-1.525140E-04,+5.95007972E-06
-6.196200E+00,-1.602370E-04,+6.24925176E-06
-6.230400E+00,-1.682520E-04,+6.55146394E-06
-6.264800E+00,-1.766130E-04,+6.87417556E-06
-6.299400E+00,-1.853310E-04,+7.20947450E-06
-6.334200E+00,-1.944120E-04,+7.56403687E-06
-6.369200E+00,-2.038740E-04,+7.91936689E-06
-6.404400E+00,-2.137300E-04,+8.29783187E-06
-6.439700E+00,-2.239690E-04,+8.69018670E-06
-6.475300E+00,-2.346590E-04,+9.09669742E-06
-6.511100E+00,-2.457880E-04,+9.52380734E-06
-6.547000E+00,-2.573430E-04,+9.96119885E-06
-6.583200E+00,-2.694030E-04,+1.04181559E-05
-6.619600E+00,-2.819670E-04,+1.08980511E-05
-6.656100E+00,-2.949820E-04,+1.13881253E-05
-6.692900E+00,-3.085960E-04,+1.19075479E-05
-6.729900E+00,-3.227430E-04,+1.24392916E-05
-6.767000E+00,-3.374460E-04,+1.29970775E-05
-6.804400E+00,-3.527740E-04,+1.35733869E-05
-6.842000E+00,-3.687120E-04,+1.41711684E-05
-6.879800E+00,-3.853080E-04,+1.47921874E-05
-6.917800E+00,-4.025440E-04,+1.54422831E-05
-6.956000E+00,-4.204950E-04,+1.61085051E-05
-6.994400E+00,-4.391480E-04,+1.68051090E-05
-7.033000E+00,-4.585650E-04,+1.75293568E-05
-7.071900E+00,-4.788040E-04,+1.82800791E-05
-7.110900E+00,-4.998090E-04,+1.90613163E-05
-7.150200E+00,-5.216990E-04,+1.98720015E-05
-7.189700E+00,-5.444540E-04,+2.07092942E-05
-7.229400E+00,-5.681240E-04,+2.15858481E-05
-7.269400E+00,-5.927670E-04,+2.24849744E-05
-7.309500E+00,-6.183630E-04,+2.34246617E-05
-7.349900E+00,-6.450040E-04,+2.43984695E-05
-7.390500E+00,-6.727390E-04,+2.54078721E-05
-7.431300E+00,-7.015490E-04,+2.64550643E-05
-7.472300E+00,-7.315240E-04,+2.75411188E-05
-7.513600E+00,-7.627260E-04,+2.86760150E-05
-7.555100E+00,-7.951720E-04,+2.98391564E-05
-7.596800E+00,-8.289070E-04,+3.10516467E-05
-7.638800E+00,-8.640240E-04,+3.23093400E-05
-7.681000E+00,-9.005580E-04,+3.36131369E-05
-7.723400E+00,-9.384970E-04,+3.49594375E-05
-7.766100E+00,-9.780230E-04,+3.63622591E-05
-7.809000E+00,-1.019117E-03,+3.78120907E-05
-7.852100E+00,-1.061980E-03,+3.93155389E-05
-7.895500E+00,-1.106440E-03,+4.08754443E-05
-7.939100E+00,-1.152640E-03,+4.24894016E-05
-7.982900E+00,-1.200650E-03,+4.41570421E-05
-8.027000E+00,-1.250690E-03,+4.58871509E-05
-8.071400E+00,-1.302840E-03,+4.76998227E-05
-8.115900E+00,-1.356860E-03,+4.95494862E-05
-8.160800E+00,-1.413300E-03,+5.14837192E-05
-8.205800E+00,-1.471790E-03,+5.34791789E-05
-8.251200E+00,-1.532840E-03,+5.55407456E-05
-8.296700E+00,-1.596200E-03,+5.76868791E-05
-8.342600E+00,-1.662270E-03,+5.99038891E-05
-8.388600E+00,-1.730810E-03,+6.21941533E-05
-8.435000E+00,-1.802430E-03,+6.45781325E-05
-8.481600E+00,-1.876840E-03,+6.70426683E-05
-8.528400E+00,-1.954200E-03,+6.95910060E-05
-8.575500E+00,-2.034790E-03,+7.22291871E-05
-8.622900E+00,-2.118690E-03,+7.49641537E-05
-8.670500E+00,-2.206020E-03,+7.77921673E-05
-8.718400E+00,-2.296900E-03,+8.07193055E-05
-8.766600E+00,-2.391660E-03,+8.37482702E-05
-8.815000E+00,-2.490160E-03,+8.68830383E-05
-8.863700E+00,-2.592830E-03,+9.01388271E-05
-8.912600E+00,-2.699650E-03,+9.34920417E-05
-8.961800E+00,-2.811020E-03,+9.69735572E-05
-9.011300E+00,-2.927060E-03,+1.00573530E-04
-9.061100E+00,-3.048020E-03,+1.04304775E-04
-9.111200E+00,-3.174150E-03,+1.08163555E-04
-9.161500E+00,-3.305480E-03,+1.12156850E-04
-9.212100E+00,-3.442410E-03,+1.16287428E-04
-9.263000E+00,-3.585180E-03,+1.20719354E-04
-9.314100E+00,-3.733970E-03,+1.24994102E-04
-9.365600E+00,-3.889470E-03,+1.29585830E-04
-9.417300E+00,-4.051390E-03,+1.34327636E-04
-9.469300E+00,-4.220460E-03,+1.39238578E-04
-9.521600E+00,-4.396830E-03,+1.44324706E-04
-9.574200E+00,-4.581190E-03,+1.49587019E-04
-9.627100E+00,-4.773580E-03,+1.55040775E-04
-9.680300E+00,-4.974630E-03,+1.60684808E-04
-9.733700E+00,-5.184320E-03,+1.66519046E-04
-9.787500E+00,-5.403610E-03,+1.72564390E-04
-9.841600E+00,-5.633040E-03,+1.78831730E-04
-9.895900E+00,-5.872540E-03,+1.85311848E-04
-9.950600E+00,-6.123390E-03,+1.92025909E-04
-1.000550E+01,-6.385450E-03,+1.98973717E-04
-1.006080E+01,-6.660060E-03,+2.06176838E-04
-1.011640E+01,-6.947570E-03,+2.13642482E-04
-1.017220E+01,-7.248240E-03,+2.21364009E-04
-1.022840E+01,-7.563500E-03,+2.29372633E-04
-1.028490E+01,-7.893990E-03,+2.37668387E-04
-1.034170E+01,-8.240200E-03,+2.46255014E-04
-1.039890E+01,-8.603960E-03,+2.55168434E-04
-1.045630E+01,-8.985120E-03,+2.64398201E-04
-1.051400E+01,-9.384940E-03,+2.73944815E-04
-1.057210E+01,-9.805300E-03,+2.83857890E-04
-1.063050E+01,-1.024650E-02,+2.94126169E-04
-1.068920E+01,-1.071570E-02,+3.04762480E-04
-1.074830E+01,-1.119860E-02,+3.15793194E-04
-1.080760E+01,-1.171060E-02,+3.27207366E-04
-1.086730E+01,-1.224970E-02,+3.39047724E-04
-1.092730E+01,-1.281670E-02,+3.51299282E-04
-1.098770E+01,-1.341380E-02,+3.63998736E-04
-1.104840E+01,-1.404240E-02,+3.77144039E-04
-1.110940E+01,-1.470470E-02,+3.90754299E-04
-1.117080E+01,-1.540240E-02,+4.04843765E-04
-1.123250E+01,-1.613710E-02,+4.19416684E-04
-1.129450E+01,-1.691100E-02,+4.34459162E-04
-1.135690E+01,-1.772670E-02,+4.50018677E-04
-1.141960E+01,-1.858520E-02,+4.66045950E-04
-1.148270E+01,-1.948960E-02,+4.82570428E-04
-1.154610E+01,-2.043980E-02,+4.99554551E-04
-1.160990E+01,-2.143960E-02,+5.17011370E-04
-1.167398E+01,-2.248460E-02,+5.34839928E-04
-1.173834E+01,-2.357270E-02,+5.52920965E-04
-1.180155E+01,-2.469280E-02,+5.71033981E-04
-1.177650E+01,-2.500200E-02,+5.76080586E-04
-1.173628E+01,-2.500100E-02,+5.74974995E-04
"-1.170708E+01
","-2.500080E-02
","+5.73867136E-04
"
