Voltage (V),Current (A),Brightness Current (A)
-3.260000E+00,-6.018400E-08,+1.95377885E-09
-3.281400E+00,-5.671100E-08,+4.59207312E-09
-3.303000E+00,-5.972700E-08,+2.18934084E-09
-3.324700E+00,-6.445000E-08,+4.72509637E-09
-3.346500E+00,-7.118400E-08,+6.82852636E-09
-3.368500E+00,-7.941200E-08,+4.05720884E-09
-3.390600E+00,-8.867700E-08,+5.52600713E-09
-3.412900E+00,-9.924900E-08,+5.22670484E-09
-3.435300E+00,-1.116930E-07,+3.38932132E-09
-3.457900E+00,-1.260840E-07,+7.49641388E-09
-3.480600E+00,-1.423330E-07,+1.05670337E-08
-3.503500E+00,-1.608000E-07,+1.32385838E-08
-3.526500E+00,-1.819010E-07,+1.22381382E-08
-3.549700E+00,-2.056540E-07,+9.03172379E-09
-3.573000E+00,-2.323430E-07,+7.93151073E-09
-3.596500E+00,-2.628650E-07,+1.28367427E-08
-3.620100E+00,-2.974670E-07,+1.58103664E-08
-3.643900E+00,-3.360420E-07,+1.65447656E-08
-3.667800E+00,-3.794120E-07,+1.33716070E-08
-3.691900E+00,-4.283970E-07,+2.35561989E-08
-3.716200E+00,-4.833910E-07,+2.33899198E-08
-3.740600E+00,-5.448720E-07,+3.08336787E-08
-3.765200E+00,-6.138030E-07,+3.28373413E-08
-3.789900E+00,-6.905880E-07,+2.91293184E-08
-3.814800E+00,-7.762560E-07,+3.60077285E-08
-3.839900E+00,-8.713220E-07,+4.05166621E-08
-3.865100E+00,-9.766300E-07,+4.48898011E-08
-3.890500E+00,-1.094670E-06,+5.07982501E-08
-3.916100E+00,-1.225350E-06,+5.45395287E-08
-3.941800E+00,-1.368880E-06,+5.82115244E-08
-3.967700E+00,-1.527830E-06,+6.61568918E-08
-3.993800E+00,-1.703050E-06,+7.89409795E-08
-4.020000E+00,-1.895480E-06,+8.27820255E-08
-4.046400E+00,-2.107010E-06,+9.96094655E-08
-4.073000E+00,-2.339230E-06,+1.07155763E-07
-4.099800E+00,-2.593690E-06,+1.17404095E-07
-4.126700E+00,-2.870660E-06,+1.27017796E-07
-4.153800E+00,-3.173390E-06,+1.41209713E-07
-4.181100E+00,-3.502610E-06,+1.57233471E-07
-4.208600E+00,-3.861050E-06,+1.67016221E-07
-4.236200E+00,-4.249270E-06,+1.91320676E-07
-4.264100E+00,-4.672010E-06,+2.02974066E-07
-4.292100E+00,-5.128240E-06,+2.29983327E-07
-4.320300E+00,-5.621070E-06,+2.48947453E-07
-4.348700E+00,-6.153410E-06,+2.72115667E-07
-4.377200E+00,-6.725670E-06,+3.00760005E-07
-4.406000E+00,-7.344270E-06,+3.27303684E-07
-4.434900E+00,-8.007500E-06,+3.59819552E-07
-4.464100E+00,-8.721320E-06,+3.91739588E-07
-4.493400E+00,-9.484340E-06,+4.19649526E-07
-4.522900E+00,-1.030314E-05,+4.55740394E-07
-4.552600E+00,-1.118090E-05,+4.90828046E-07
-4.582600E+00,-1.212080E-05,+5.38940889E-07
-4.612700E+00,-1.312170E-05,+5.86081000E-07
-4.643000E+00,-1.418920E-05,+6.27814271E-07
-4.673500E+00,-1.532780E-05,+6.75921571E-07
-4.704200E+00,-1.654150E-05,+7.29640790E-07
-4.735100E+00,-1.783270E-05,+7.88733594E-07
-4.766200E+00,-1.920620E-05,+8.47529866E-07
-4.797500E+00,-2.066530E-05,+9.07257302E-07
-4.829000E+00,-2.221540E-05,+9.79771596E-07
-4.860800E+00,-2.386470E-05,+1.05058430E-06
-4.892700E+00,-2.561040E-05,+1.12690361E-06
-4.924800E+00,-2.745920E-05,+1.20419289E-06
-4.957200E+00,-2.942170E-05,+1.29500342E-06
-4.989800E+00,-3.149930E-05,+1.38164035E-06
-5.022500E+00,-3.369190E-05,+1.47729237E-06
-5.055500E+00,-3.601420E-05,+1.57835124E-06
-5.088800E+00,-3.847240E-05,+1.68872727E-06
-5.122200E+00,-4.106700E-05,+1.79279302E-06
-5.155900E+00,-4.381210E-05,+1.91695636E-06
-5.189700E+00,-4.669680E-05,+2.04261898E-06
-5.223800E+00,-4.974830E-05,+2.17045709E-06
-5.258100E+00,-5.296890E-05,+2.31281412E-06
-5.292700E+00,-5.636270E-05,+2.46121818E-06
-5.327500E+00,-5.994030E-05,+2.61459398E-06
-5.362500E+00,-6.370540E-05,+2.78135801E-06
-5.397700E+00,-6.766490E-05,+2.94555303E-06
-5.433200E+00,-7.184320E-05,+3.12373489E-06
-5.468900E+00,-7.622950E-05,+3.31340109E-06
-5.504800E+00,-8.084250E-05,+3.51285004E-06
-5.541000E+00,-8.570070E-05,+3.72618607E-06
-5.577400E+00,-9.079950E-05,+3.94079690E-06
-5.614000E+00,-9.614910E-05,+4.16414846E-06
-5.650900E+00,-1.017809E-04,+4.40863687E-06
-5.688000E+00,-1.076830E-04,+4.65986789E-06
-5.725400E+00,-1.138880E-04,+4.92435412E-06
-5.763000E+00,-1.203960E-04,+5.20576756E-06
-5.800900E+00,-1.272300E-04,+5.49666168E-06
-5.839000E+00,-1.343860E-04,+5.79833622E-06
-5.877300E+00,-1.418860E-04,+6.12041598E-06
-5.916000E+00,-1.497780E-04,+6.45234223E-06
-5.954800E+00,-1.580180E-04,+6.80603440E-06
-5.994000E+00,-1.666860E-04,+7.17341411E-06
-6.033300E+00,-1.757250E-04,+7.55699218E-06
-6.073000E+00,-1.852400E-04,+7.95916024E-06
-6.112900E+00,-1.951930E-04,+8.38099634E-06
-6.153000E+00,-2.055970E-04,+8.82112869E-06
-6.193500E+00,-2.165310E-04,+9.27665016E-06
-6.234200E+00,-2.279680E-04,+9.76352077E-06
-6.275100E+00,-2.399110E-04,+1.02674184E-05
-6.316300E+00,-2.524310E-04,+1.07932842E-05
-6.357800E+00,-2.655460E-04,+1.13435238E-05
-6.399600E+00,-2.792840E-04,+1.19198026E-05
-6.441700E+00,-2.936640E-04,+1.25207518E-05
-6.484000E+00,-3.086910E-04,+1.31485799E-05
-6.526600E+00,-3.244260E-04,+1.38049886E-05
-6.569500E+00,-3.409040E-04,+1.44930126E-05
-6.612600E+00,-3.581120E-04,+1.52044736E-05
-6.656100E+00,-3.761570E-04,+1.59561297E-05
-6.699800E+00,-3.949920E-04,+1.67350640E-05
-6.743800E+00,-4.147230E-04,+1.75467524E-05
-6.788100E+00,-4.353470E-04,+1.83979654E-05
-6.832700E+00,-4.569370E-04,+1.92818993E-05
-6.877600E+00,-4.795220E-04,+2.02084339E-05
-6.922800E+00,-5.031330E-04,+2.11790381E-05
-6.968300E+00,-5.278340E-04,+2.21807586E-05
-7.014100E+00,-5.536730E-04,+2.32303535E-05
-7.060200E+00,-5.807130E-04,+2.43283939E-05
-7.106500E+00,-6.089000E-04,+2.54688688E-05
-7.153200E+00,-6.384500E-04,+2.66549151E-05
-7.200200E+00,-6.693490E-04,+2.79032912E-05
-7.247500E+00,-7.016470E-04,+2.91921673E-05
-7.295200E+00,-7.354810E-04,+3.05505841E-05
-7.343100E+00,-7.707820E-04,+3.19485671E-05
-7.391300E+00,-8.076920E-04,+3.34096141E-05
-7.439900E+00,-8.463520E-04,+3.49361002E-05
-7.488800E+00,-8.867680E-04,+3.65259858E-05
-7.538000E+00,-9.290170E-04,+3.81780709E-05
-7.587500E+00,-9.731880E-04,+3.99027007E-05
-7.637300E+00,-1.019351E-03,+4.16867615E-05
-7.687500E+00,-1.067760E-03,+4.35583294E-05
-7.738000E+00,-1.118240E-03,+4.55024726E-05
-7.788900E+00,-1.171120E-03,+4.75279484E-05
-7.840000E+00,-1.226320E-03,+4.96313842E-05
-7.891600E+00,-1.284210E-03,+5.18216841E-05
-7.943400E+00,-1.344620E-03,+5.41039669E-05
-7.995600E+00,-1.407880E-03,+5.64688821E-05
-8.048100E+00,-1.474010E-03,+5.89400303E-05
-8.101000E+00,-1.543290E-03,+6.15106687E-05
-8.154200E+00,-1.615730E-03,+6.41775274E-05
-8.207800E+00,-1.691570E-03,+6.69491197E-05
-8.261700E+00,-1.770870E-03,+6.98374648E-05
-8.316000E+00,-1.853950E-03,+7.28437601E-05
-8.370600E+00,-1.940840E-03,+7.59651066E-05
-8.425600E+00,-2.031900E-03,+7.92095468E-05
-8.481000E+00,-2.127270E-03,+8.25944098E-05
-8.536700E+00,-2.227080E-03,+8.61044032E-05
-8.592800E+00,-2.331690E-03,+8.97614318E-05
-8.649300E+00,-2.441320E-03,+9.35578134E-05
-8.706100E+00,-2.556010E-03,+9.74975220E-05
-8.763300E+00,-2.676310E-03,+1.01604330E-04
-8.820900E+00,-2.802390E-03,+1.05865415E-04
-8.878800E+00,-2.934530E-03,+1.10298770E-04
-8.937200E+00,-3.073360E-03,+1.14915689E-04
-8.995900E+00,-3.218820E-03,+1.19710652E-04
-9.055000E+00,-3.371370E-03,+1.24863056E-04
-9.114500E+00,-3.531650E-03,+1.29887850E-04
-9.174400E+00,-3.699980E-03,+1.35275533E-04
-9.234600E+00,-3.876340E-03,+1.40870686E-04
-9.295300E+00,-4.062030E-03,+1.46707931E-04
-9.356400E+00,-4.257120E-03,+1.52763022E-04
-9.417900E+00,-4.462290E-03,+1.59076034E-04
-9.479700E+00,-4.677750E-03,+1.65620992E-04
-9.542000E+00,-4.904860E-03,+1.72450008E-04
-9.604700E+00,-5.143750E-03,+1.79543484E-04
-9.667800E+00,-5.395420E-03,+1.86932705E-04
-9.731300E+00,-5.660530E-03,+1.94619138E-04
-9.795300E+00,-5.940310E-03,+2.02625791E-04
-9.859600E+00,-6.235130E-03,+2.10956003E-04
-9.924400E+00,-6.546420E-03,+2.19623860E-04
-9.989600E+00,-6.874920E-03,+2.28667658E-04
-1.005520E+01,-7.222120E-03,+2.38075313E-04
-1.012130E+01,-7.589590E-03,+2.47888791E-04
-1.018780E+01,-7.977940E-03,+2.58105521E-04
-1.025470E+01,-8.389350E-03,+2.68762461E-04
-1.032210E+01,-8.825290E-03,+2.79869568E-04
-1.038990E+01,-9.287410E-03,+2.91451743E-04
-1.045820E+01,-9.778340E-03,+3.03548552E-04
-1.052690E+01,-1.029929E-02,+3.16168438E-04
-1.059610E+01,-1.085950E-02,+3.29343856E-04
-1.066570E+01,-1.144320E-02,+3.43091067E-04
-1.073580E+01,-1.207130E-02,+3.57453476E-04
-1.080630E+01,-1.274010E-02,+3.72453449E-04
-1.087730E+01,-1.345410E-02,+3.88137665E-04
-1.094880E+01,-1.421690E-02,+4.04525083E-04
-1.102070E+01,-1.503220E-02,+4.21659613E-04
-1.109310E+01,-1.590470E-02,+4.39566259E-04
-1.116600E+01,-1.684030E-02,+4.58311766E-04
-1.123930E+01,-1.784300E-02,+4.77897164E-04
-1.131320E+01,-1.892130E-02,+4.98399413E-04
-1.138750E+01,-2.007920E-02,+5.19825928E-04
-1.146230E+01,-2.132600E-02,+5.42226652E-04
-1.153760E+01,-2.267030E-02,+5.65649566E-04
-1.161340E+01,-2.412210E-02,+5.90146088E-04
-1.168970E+01,-2.569350E-02,+6.15742655E-04
-1.176650E+01,-2.739780E-02,+6.42499372E-04
-1.184390E+01,-2.925350E-02,+6.70434029E-04
-1.192170E+01,-3.127730E-02,+6.99512438E-04
"-1.200000E+01
","-3.348660E-02
","+7.29537618E-04
"
